timestamp,human_readable_date,value,context
1580448942485,2020-01-31 11:05:42,-2.5727052089511287e+38,b'{}'
1580448942464,2020-01-31 11:05:42,0.0,b'{}'
1580448478682,2020-01-31 10:57:58,17.9,b'{}'
1580448476645,2020-01-31 10:57:56,-2.5727052089511287e+38,b'{}'
1580448476579,2020-01-31 10:57:56,0.0,b'{}'
1580447542165,2020-01-31 10:42:22,17.7,b'{}'
1580447540258,2020-01-31 10:42:20,-2.5727052089511287e+38,b'{}'
1580447540127,2020-01-31 10:42:20,0.0,b'{}'
1580447426411,2020-01-31 10:40:26,17.7,b'{}'
1580447424396,2020-01-31 10:40:24,0.0,b'{}'
1580447424393,2020-01-31 10:40:24,-2.5727052089511287e+38,b'{}'
1580446810488,2020-01-31 10:30:10,17.7,b'{}'
1580446808523,2020-01-31 10:30:08,0.0,b'{}'
1580446808495,2020-01-31 10:30:08,-2.5727052089511287e+38,b'{}'
1580446767381,2020-01-31 10:29:27,17.7,b'{}'
1580446765546,2020-01-31 10:29:25,0.0,b'{}'
1580446765197,2020-01-31 10:29:25,-2.5727052089511287e+38,b'{}'
1580446652918,2020-01-31 10:27:32,17.6,b'{}'
1580446650898,2020-01-31 10:27:30,-2.5727052089511287e+38,b'{}'
1580446650890,2020-01-31 10:27:30,0.0,b'{}'
1580445015371,2020-01-31 10:00:15,18.2,b'{}'
1580445013410,2020-01-31 10:00:13,-2.5727052089511287e+38,b'{}'
1580445013391,2020-01-31 10:00:13,0.0,b'{}'
1580444423847,2020-01-31 09:50:23,18.2,b'{}'
1580444422017,2020-01-31 09:50:22,0.0,b'{}'
1580444422004,2020-01-31 09:50:22,-2.5727052089511287e+38,b'{}'
1580443813706,2020-01-31 09:40:13,18.2,b'{}'
1580443811775,2020-01-31 09:40:11,0.0,b'{}'
1580443811698,2020-01-31 09:40:11,-2.5727052089511287e+38,b'{}'
1580440829023,2020-01-31 08:50:29,18.2,b'{}'
1580440827039,2020-01-31 08:50:27,-2.5727052089511287e+38,b'{}'
1580440827035,2020-01-31 08:50:27,0.0,b'{}'
1580439616800,2020-01-31 08:30:16,18.2,b'{}'
1580439614795,2020-01-31 08:30:14,0.0,b'{}'
1580439018711,2020-01-31 08:20:18,18.2,b'{}'
1580439016747,2020-01-31 08:20:16,0.0,b'{}'
1580439016715,2020-01-31 08:20:16,-2.5727052089511287e+38,b'{}'
1580438415135,2020-01-31 08:10:15,18.2,b'{}'
1580438413119,2020-01-31 08:10:13,0.0,b'{}'
1580438413108,2020-01-31 08:10:13,-2.5727052089511287e+38,b'{}'
1580437816957,2020-01-31 08:00:16,18.2,b'{}'
1580437814956,2020-01-31 08:00:14,-2.5727052089511287e+38,b'{}'
1580437814930,2020-01-31 08:00:14,0.0,b'{}'
1580435411532,2020-01-31 07:20:11,18.2,b'{}'
1580435409559,2020-01-31 07:20:09,-2.5727052089511287e+38,b'{}'
1580435409500,2020-01-31 07:20:09,0.0,b'{}'
1580434164473,2020-01-31 06:59:24,18.2,b'{}'
1580434162445,2020-01-31 06:59:22,0.0,b'{}'
1580434162400,2020-01-31 06:59:22,-2.5727052089511287e+38,b'{}'
1580434062867,2020-01-31 06:57:42,18.3,b'{}'
